,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
376,Ashqelon,7,IL,1577731823,62,31.67,34.57,57.99,6.93
377,Lithgow,0,AU,1577731824,88,-33.48,150.16,77.0,4.25
378,Le Vauclin,20,MQ,1577731826,66,14.55,-60.84,86.0,14.99
379,Fuerte Olimpo,0,BR,1577731828,23,-21.04,-57.87,105.64,6.87
380,Thohoyandou,5,ZA,1577731830,50,-22.97,30.46,78.78,4.23
381,High Level,90,CA,1577731831,92,58.52,-117.13,5.0,5.82
382,Saurimo,76,AO,1577731832,94,-9.66,20.4,68.27,3.56
383,Yerbogachen,67,RU,1577731833,96,61.28,108.01,-14.06,8.95
384,Kalevala,98,FI,1577731835,88,64.12,29.58,34.11,10.89
385,San Luis,62,AR,1577731836,32,-33.3,-66.34,94.37,5.55
386,Mitsamiouli,20,KM,1577731837,88,-11.38,43.28,80.6,4.7
387,Bela,0,PK,1577731839,62,26.23,66.31,64.45,5.46
388,Merauke,23,ID,1577731840,89,-8.49,140.4,76.55,4.05
389,Marzuq,18,YE,1577731841,85,14.4,46.47,65.21,3.11
390,Whitehorse,75,CA,1577731843,95,60.72,-135.06,33.01,17.22
391,Tsabong,83,BW,1577731844,84,-26.02,22.4,71.96,26.64
392,Kharitonovo,100,RU,1577731846,94,61.4,47.5,22.82,11.95
393,Ganzhou,93,CN,1577731849,84,25.86,114.93,51.98,9.62
394,Balkhash,87,KZ,1577731850,86,46.84,74.98,9.59,6.64
395,Dunedin,0,NZ,1577731814,84,-45.87,170.5,55.99,8.01
396,Ambanja,100,MG,1577731853,89,-13.68,48.45,76.84,2.01
397,Ranong,0,TH,1577731854,77,9.96,98.62,78.46,7.63
398,Luganville,19,VU,1577731855,97,-15.51,167.18,71.6,1.21
399,Muzhi,100,RU,1577731856,66,65.4,64.7,15.37,25.77
400,Coronel Vivida,13,BR,1577731857,44,-25.98,-52.57,87.96,5.39
401,Bafra,90,TR,1577731859,93,41.57,35.91,48.2,3.36
402,Daru,79,PG,1577731860,90,-9.07,143.21,76.26,3.27
403,Never,0,RU,1577731861,94,53.98,124.16,-30.62,2.84
404,Ipira,45,BR,1577731862,31,-27.41,-51.77,95.29,6.15
405,Kargat,85,RU,1577731864,96,55.19,80.28,6.85,4.12
406,Basco,90,US,1577731865,64,40.33,-91.2,32.0,21.92
407,Ankang,46,CN,1577731869,61,32.73,108.99,37.15,2.71
408,Shirokiy,100,RU,1577731870,86,53.87,39.17,28.89,22.21
409,मलिम ६६७,0,NP,1577731871,59,26.88,88.04,41.34,4.88
410,Matay,0,EG,1577731872,45,28.42,30.79,46.94,5.73
411,Port Hardy,90,CA,1577731874,93,50.7,-127.42,44.6,6.93
412,Kaeo,5,NZ,1577731875,100,-35.1,173.78,62.01,1.01
413,Vapnyarka,39,UA,1577731876,87,48.53,28.74,26.01,7.76
414,Campbell River,90,CA,1577731878,93,50.02,-125.24,46.4,7.63
415,Sao Joao da Barra,20,BR,1577731879,58,-21.64,-41.05,86.0,13.87
416,Itapecerica,63,BR,1577731880,62,-20.47,-45.13,78.69,1.34
417,Jutai,68,BR,1577731881,88,-1.71,-47.89,81.66,3.78
418,Ust-Kuyga,80,RU,1577731882,81,70.0,135.55,-29.69,4.45
419,Zastron,73,ZA,1577731884,45,-30.3,27.08,72.52,8.55
420,Clyde River,90,CA,1577731886,83,70.47,-68.59,-4.0,26.4
421,Maningrida,100,AU,1577731888,78,-12.05,134.23,82.53,2.48
422,Mae Sai,21,MM,1577731890,100,20.44,99.89,60.8,2.75
423,Sribne,79,UA,1577731891,77,50.66,32.92,28.94,14.47
424,Cidreira,55,BR,1577731892,81,-30.17,-50.22,76.53,9.66
425,Cap Malheureux,75,MU,1577731893,94,-19.98,57.61,79.0,27.51
426,Thinadhoo,97,MV,1577731895,83,0.53,72.93,81.99,14.36
427,Kindu,99,CD,1577731896,98,-2.95,25.92,71.33,2.42
428,Naze,18,NG,1577731897,58,5.43,7.07,84.2,1.63
429,Keti Bandar,0,PK,1577731899,28,24.14,67.45,64.4,9.35
430,Concepcion del Oro,0,MX,1577731900,42,24.63,-101.42,60.35,14.58
431,Khash,0,IR,1577731901,39,28.22,61.21,49.28,2.1
432,Yicheng,0,CN,1577731902,42,31.71,112.27,36.1,9.15
433,Nova Olimpia,100,BR,1577731904,47,-14.8,-57.29,91.87,2.55
434,Wanning,59,AT,1577731905,92,48.64,13.53,36.0,1.12
435,Port Blair,28,IN,1577731744,78,11.67,92.75,81.36,14.18
436,Hobyo,3,SO,1577731910,77,5.35,48.53,79.3,17.0
437,Suntar,100,RU,1577731911,94,62.16,117.65,-14.53,5.79
438,Senador Jose Porfirio,65,BR,1577731912,70,-2.59,-51.95,84.06,3.87
439,Williamsburg,40,US,1577731914,69,37.27,-76.71,77.0,10.29
440,Isangel,35,VU,1577731915,88,-19.55,169.27,71.6,3.36
441,Vestmannaeyjar,90,IS,1577731916,86,63.44,-20.27,41.0,20.8
442,Kaka,21,TM,1577731918,91,37.35,59.62,41.09,6.13
443,Manzil Kamil,40,TN,1577731919,62,35.62,10.67,53.6,17.22
444,Krasnoborsk,98,RU,1577731920,89,61.56,45.93,23.67,10.56
445,Batemans Bay,5,AU,1577731922,81,-35.71,150.18,69.01,1.99
446,Asosa,73,ET,1577731923,29,10.07,34.53,74.26,6.38
447,Ambon,90,FR,1577731924,100,47.55,-2.56,36.0,1.12
448,Sirjan,0,IR,1577731926,48,29.44,55.67,47.55,2.01
449,The Valley,40,AI,1577731929,74,18.22,-63.06,84.0,6.93
450,Saiha,86,IN,1577731930,86,22.49,92.98,54.82,3.76
451,Rafsanjan,0,IR,1577731932,47,30.4,55.99,49.48,4.12
452,Lamu,57,CN,1577731933,41,35.77,102.37,14.86,1.54
453,Evensk,50,RU,1577731934,25,61.92,159.24,-15.68,2.66
454,Sozimskiy,100,RU,1577731936,88,59.74,52.25,12.49,14.97
455,Qena,73,EG,1577731938,55,26.16,32.72,60.8,6.71
456,Santa Ines,75,EC,1577731939,71,-0.82,-78.63,57.2,6.93
457,Novyy Urengoy,100,RU,1577731940,77,66.08,76.63,10.49,20.87
458,Lermontovka,100,RU,1577731942,97,47.15,134.34,-15.95,3.18
459,Ghanzi,43,BW,1577731943,55,-21.7,21.65,81.21,1.59
460,Cururupu,98,BR,1577731944,78,-1.82,-44.87,81.01,5.41
461,Staryy Nadym,99,RU,1577731946,74,65.61,72.68,7.68,15.08
462,San Vicente,100,EC,1577731948,81,-0.59,-80.41,77.09,7.09
463,Wukari,44,NG,1577731950,16,7.87,9.78,80.91,3.56
464,Vaitape,100,PF,1577731951,77,-16.52,-151.75,80.89,13.35
465,Bani Walid,95,LY,1577731952,70,31.76,14.0,46.92,8.43
466,Tecpan,40,GT,1577731953,47,14.76,-90.99,78.8,6.93
467,Alice Springs,40,AU,1577731955,61,-23.7,133.88,78.8,4.7
468,Torbat-e Jam,21,IR,1577731956,83,35.24,60.63,37.99,1.7
469,Baracoa,46,CU,1577731742,81,20.35,-74.5,79.99,16.2
470,Lazarev,76,RU,1577731958,85,52.23,141.51,-6.34,4.41
471,Scarborough,100,GB,1577731960,87,54.28,-0.41,50.0,13.87
472,Aligarh,0,IN,1577731961,45,27.88,78.07,46.15,4.23
473,Sirajganj,0,BD,1577731962,65,24.46,89.71,62.51,5.86
474,Olaine,90,LV,1577731963,93,56.79,23.93,44.6,8.05
475,Torbay,90,CA,1577731965,86,47.66,-52.73,34.0,27.51
476,Guerrero Negro,7,MX,1577731966,41,27.97,-114.04,60.76,4.36
477,Barabai,100,ID,1577731969,94,-2.59,115.38,75.58,0.85
478,Pangnirtung,90,CA,1577731970,92,66.15,-65.72,15.8,14.99
479,Baoro,69,CF,1577731971,24,5.69,15.95,77.99,3.8
480,Sandnessjoen,75,NO,1577731972,80,66.02,12.63,42.8,12.75
481,Kirovskiy,100,RU,1577731974,96,45.09,133.51,-10.75,7.38
482,Aosta,0,IT,1577731975,66,45.74,7.32,37.4,2.24
483,Ust-Omchug,100,RU,1577731976,78,61.13,149.63,-20.02,3.47
484,Pozo Colorado,100,PY,1577731977,30,-23.49,-58.8,101.32,5.82
485,Huilong,100,CN,1577731979,75,31.15,106.5,48.69,2.46
486,Guilin,75,CN,1577731980,81,25.28,110.29,53.6,4.47
487,Taganak,40,PH,1577731981,94,6.08,118.3,77.0,2.24
488,Fort Nelson,40,CA,1577731982,84,58.81,-122.69,-0.4,3.44
489,Quchan,14,IR,1577731984,75,37.11,58.51,31.95,1.43
490,Camabatela,75,AO,1577731985,86,-8.19,15.37,65.05,3.89
491,Port Victoria,10,AU,1577732053,71,-34.5,137.49,60.66,17.29
492,Monze,100,ZM,1577732054,86,-16.28,27.48,70.25,1.9
493,Sabha,0,LY,1577732056,50,27.03,14.43,43.61,1.79
494,Longyearbyen,0,NO,1577732057,65,78.22,15.63,3.2,6.93
495,Port-Gentil,20,GA,1577732058,83,-0.72,8.78,82.4,5.82
496,Staroye Drozhzhanoye,93,RU,1577732059,90,54.73,47.56,18.21,18.37
497,Elizabeth City,75,US,1577732025,73,36.3,-76.22,77.0,14.99
498,Portel,60,BR,1577732044,88,-1.94,-50.82,82.17,3.58
499,Biak,27,ID,1577732063,74,-0.91,122.88,81.07,4.88
500,Iranshahr,0,IR,1577732065,39,27.21,60.69,57.2,0.87
501,Praia,75,BR,1577732066,35,-20.25,-43.81,87.8,4.7
502,Mlimba,100,TZ,1577732069,95,-8.78,35.81,74.17,2.51
503,Waipawa,31,NZ,1577732070,77,-39.94,176.59,60.01,3.02
504,Bucerias,5,MX,1577732071,61,20.76,-105.33,78.8,4.7
505,Oskarshamn,100,SE,1577732073,87,57.26,16.44,48.2,17.22
506,Vila Franca do Campo,75,PT,1577732074,67,37.72,-25.43,60.8,14.99
507,Petropavlovka,0,RU,1577732075,82,50.61,105.32,-19.64,2.06
508,Magaria,0,NE,1577732076,16,13.0,8.91,68.81,8.34
509,Pochutla,40,MX,1577732078,62,15.74,-96.47,87.01,4.63
510,Yenagoa,72,NG,1577732079,57,4.92,6.26,84.18,10.42
511,Mweka,72,CD,1577732080,78,-4.85,21.56,73.31,1.86
512,Rocha,31,UY,1577731886,49,-34.48,-54.34,89.64,13.04
513,Erzin,75,TR,1577732082,100,36.95,36.2,50.0,9.17
514,Parkes,0,AU,1577732084,25,-33.14,148.18,75.11,11.16
515,Sarangani,97,PH,1577732086,73,5.4,125.46,82.67,16.93
516,Ibra,0,OM,1577732088,72,22.69,58.55,68.31,11.74
517,Escanaba,90,US,1577732090,86,45.75,-87.06,34.0,5.82
518,Gornopravdinsk,10,RU,1577732091,86,60.06,69.92,-4.54,7.81
519,Marawi,77,PH,1577732092,90,8.0,124.29,73.99,5.99
520,Koygorodok,100,RU,1577732094,92,60.44,51.01,17.02,14.14
521,Gelemso,62,ET,1577732095,50,8.81,40.52,67.14,5.01
522,Yeppoon,75,AU,1577732096,78,-23.13,150.74,73.4,5.82
523,Dabat,44,ET,1577732097,33,12.98,37.77,60.58,9.33
524,Northam,0,AU,1577732099,82,-31.65,116.67,59.0,5.82
525,Jaisalmer,0,IN,1577732100,17,26.91,70.91,55.2,7.56
526,Olga,40,US,1577732101,40,34.11,-118.17,61.0,11.41
527,Arroyo,75,BO,1577732103,66,-11.08,-66.08,87.8,11.41
528,Walvis Bay,44,NA,1577732104,72,-22.95,14.51,66.2,16.11
529,Ulladulla,8,AU,1577732106,100,-35.36,150.48,60.8,10.6
530,Ibia,72,NG,1577732109,57,5.18,6.32,84.18,10.42
531,Manaus,40,BR,1577732110,74,-3.13,-59.98,84.2,4.7
532,Phalodi,0,IN,1577732111,22,27.13,72.36,56.03,8.7
533,Rizhao,8,CN,1577732113,55,35.43,119.46,22.59,10.8
534,Katete,96,UG,1577732114,81,-0.78,29.75,59.43,3.47
535,Aniva,90,RU,1577732115,100,46.71,142.53,24.8,20.94
536,Oktyabrskoye,20,RU,1577732116,84,56.73,85.44,5.0,4.07
537,Beregovoy,0,RU,1577732118,81,46.66,38.11,35.13,8.03
538,Bayan,57,CN,1577732119,41,36.1,102.26,14.86,1.54
539,Harper,1,US,1577732120,30,30.3,-99.24,60.01,4.7
540,Tutoia,75,BR,1577732121,70,-2.76,-42.27,86.0,16.11
541,Hovd,75,NO,1577732122,81,63.83,10.7,45.0,26.4
542,Collie,0,AU,1577732124,52,-33.36,116.15,55.0,3.42
543,Quelimane,40,MZ,1577732104,83,-17.88,36.89,84.2,5.82
544,Fujin,58,CN,1577732128,86,47.24,132.03,-14.51,13.29
545,Nalut,64,LY,1577732129,67,31.86,10.98,46.26,8.43
546,Noumea,90,NC,1577732131,88,-22.28,166.46,78.01,2.24
